match_id,team,teams,venue,venue_country,venue_location,competition,match_status,series_no,comp_match_no,captain,wicketkeeper,umpire1,umpire2,umpire3,umpire4,player1_of_match_team,player1_of_match,player2_of_match_team,player2_of_match,player3_of_match_team,player3_of_match,player4_of_match_team,player4_of_match,toss_winner,season_start_year,season_end_year,start_date,end_date,inns_per_side,overs_per_inns,days_for_match,winner,result_type,winning_margin,follow_on,reduced_balls,amended_target,amended_balls,innings,wickets,declared,runs,wides,noballs,byes,legbyes,penalties,time,team_batted,rest_days
20080418_00001_Bangalr,Kolkata Knight Riders,1,Bangalore,India,Royal Challengers Bangalore,Indian Premier League,ordinary,287,1,"Ganguly, SC {b1972-7-8}","Saha, WP {b1984-10-24}",Asad Rauf,"Koertzen, RE",NA,NA,Kolkata Knight Riders,"McCullum, BB {b1981-9-27}",NA,NA,NA,NA,NA,NA,Royal Challengers Bangalore,2008,2008,2008-04-18,2008-04-18,1,20,0,Kolkata Knight Riders,runs,140,0,NA,NA,NA,1,3,0,222,9,0,4,4,0,90,1,0
20080418_00001_Bangalr,Royal Challengers Bangalore,2,Bangalore,India,Royal Challengers Bangalore,Indian Premier League,ordinary,287,1,"Dravid, RS {b1973-1-11}","Boucher, MV {b1976-12-3}",Asad Rauf,"Koertzen, RE",NA,NA,Kolkata Knight Riders,"McCullum, BB {b1981-9-27}",NA,NA,NA,NA,NA,NA,Royal Challengers Bangalore,2008,2008,2008-04-18,2008-04-18,1,20,0,Kolkata Knight Riders,runs,140,0,NA,NA,NA,1,10,0,82,11,0,0,8,0,90,1,0
20080419_00002_Mohali,Chennai Super Kings,1,Mohali,India,Punjab Kings,Indian Premier League,ordinary,287,2,"Dhoni, MS {b1981-7-7}","Dhoni, MS {b1981-7-7}","Benson, MR","Shastri, SL",NA,NA,Chennai Super Kings,"Hussey, MEK {b1975-5-27}",NA,NA,NA,NA,NA,NA,Chennai Super Kings,2008,2008,2008-04-19,2008-04-19,1,20,0,Chennai Super Kings,runs,33,0,NA,NA,NA,1,5,0,240,3,1,0,2,0,90,1,0
20080419_00002_Mohali,Punjab Kings,2,Mohali,India,Punjab Kings,Indian Premier League,ordinary,287,2,Yuvraj Singh {b1981-12-12},"Sangakkara, KC {b1977-10-27}","Benson, MR","Shastri, SL",NA,NA,Chennai Super Kings,"Hussey, MEK {b1975-5-27}",NA,NA,NA,NA,NA,NA,Chennai Super Kings,2008,2008,2008-04-19,2008-04-19,1,20,0,Chennai Super Kings,runs,33,0,NA,NA,NA,1,4,0,207,5,0,2,4,0,90,1,0
20080419_00003_DelhiFK,Rajasthan Royals,1,Delhi (Feroz Shah Kotla),India,Delhi Capitals,Indian Premier League,ordinary,287,3,"Warne, SK {b1969-9-13}","Rawat, M {b1985-10-25}",Aleem Dar,"Pratap Kumar, GA",NA,NA,Delhi Capitals,"Maharoof, MF {b1984-9-7}",NA,NA,NA,NA,NA,NA,Rajasthan Royals,2008,2008,2008-04-19,2008-04-19,1,20,0,Delhi Capitals,wickets,9,0,NA,NA,NA,1,8,0,129,3,0,1,3,0,90,1,0
20080419_00003_DelhiFK,Delhi Capitals,2,Delhi (Feroz Shah Kotla),India,Delhi Capitals,Indian Premier League,ordinary,287,3,"Sehwag, V {b1978-10-20}","Karthik, KD {b1985-6-1}",Aleem Dar,"Pratap Kumar, GA",NA,NA,Delhi Capitals,"Maharoof, MF {b1984-9-7}",NA,NA,NA,NA,NA,NA,Rajasthan Royals,2008,2008,2008-04-19,2008-04-19,1,20,0,Delhi Capitals,wickets,9,0,NA,NA,NA,1,1,0,132,10,0,0,0,0,90,1,0
20080420_00004_Calcutt,Deccan Chargers,1,Kolkata (Calcutta),India,Kolkata Knight Riders,Indian Premier League,ordinary,287,4,"Laxman, VVS {b1974-11-1}","Gilchrist, AC {b1971-11-14}","Bowden, BF","Hariharan, K",NA,NA,Kolkata Knight Riders,"Hussey, DJ {b1977-7-15}",NA,NA,NA,NA,NA,NA,Deccan Chargers,2008,2008,2008-04-20,2008-04-20,1,20,0,Kolkata Knight Riders,wickets,5,0,NA,NA,NA,1,10,0,110,4,2,0,4,0,90,1,0
20080420_00004_Calcutt,Kolkata Knight Riders,2,Kolkata (Calcutta),India,Kolkata Knight Riders,Indian Premier League,ordinary,287,4,"Ganguly, SC {b1972-7-8}","Saha, WP {b1984-10-24}","Bowden, BF","Hariharan, K",NA,NA,Kolkata Knight Riders,"Hussey, DJ {b1977-7-15}",NA,NA,NA,NA,NA,NA,Deccan Chargers,2008,2008,2008-04-20,2008-04-20,1,20,0,Kolkata Knight Riders,wickets,5,0,NA,NA,NA,1,5,0,112,15,1,4,8,0,90,1,0
20080420_00005_Wankhed,Mumbai Indians,1,Mumbai (Wankhede),India,Mumbai Indians,Indian Premier League,ordinary,287,5,Harbhajan Singh {b1980-7-3},"Ronchi, L {b1981-4-23}","Davis, SJ","Harper, DJ",NA,NA,Royal Challengers Bangalore,"Boucher, MV {b1976-12-3}",NA,NA,NA,NA,NA,NA,Mumbai Indians,2008,2008,2008-04-20,2008-04-20,1,20,0,Royal Challengers Bangalore,wickets,5,0,NA,NA,NA,1,6,0,165,3,0,2,6,0,90,1,0
20080420_00005_Wankhed,Royal Challengers Bangalore,2,Mumbai (Wankhede),India,Mumbai Indians,Indian Premier League,ordinary,287,5,"Dravid, RS {b1973-1-11}","Boucher, MV {b1976-12-3}","Davis, SJ","Harper, DJ",NA,NA,Royal Challengers Bangalore,"Boucher, MV {b1976-12-3}",NA,NA,NA,NA,NA,NA,Mumbai Indians,2008,2008,2008-04-20,2008-04-20,1,20,0,Royal Challengers Bangalore,wickets,5,0,NA,NA,NA,1,5,0,166,5,0,0,0,0,90,1,0
